country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,39.86436,26.246,295.18,0.61,0.71,2024-10-07,113,N21,VIIRS,n,2.0NRT,281.74,0.97,N
TUR,38.73795,26.94567,298.28,0.72,0.75,2024-10-07,115,N21,VIIRS,n,2.0NRT,288.15,2.59,N
TUR,38.7388,26.94717,298.55,0.72,0.75,2024-10-07,115,N21,VIIRS,n,2.0NRT,287.59,1.2,N
TUR,36.77579,39.3457,332.77,0.7,0.75,2024-10-07,915,N21,VIIRS,l,2.0NRT,304.39,4.85,D
TUR,36.86814,39.42882,332.94,0.69,0.74,2024-10-07,915,N21,VIIRS,n,2.0NRT,304.85,7.81,D
TUR,36.96685,39.66362,341.27,0.67,0.73,2024-10-07,915,N21,VIIRS,n,2.0NRT,304.32,15.36,D
TUR,37.13266,39.46749,334.08,0.68,0.74,2024-10-07,915,N21,VIIRS,n,2.0NRT,303.07,5.08,D
TUR,37.16397,41.69198,334.57,0.52,0.67,2024-10-07,915,N21,VIIRS,n,2.0NRT,308.02,12.07,D
TUR,37.16556,41.69752,367.0,0.52,0.67,2024-10-07,915,N21,VIIRS,h,2.0NRT,313.75,12.07,D
TUR,37.17137,41.69504,367.0,0.52,0.67,2024-10-07,915,N21,VIIRS,h,2.0NRT,313.31,19.36,D
TUR,37.25735,42.64337,367.0,0.46,0.63,2024-10-07,915,N21,VIIRS,h,2.0NRT,317.98,17.14,D
TUR,37.25798,42.64129,367.0,0.46,0.63,2024-10-07,915,N21,VIIRS,h,2.0NRT,315.56,15.55,D
TUR,37.27065,42.44252,349.95,0.47,0.64,2024-10-07,915,N21,VIIRS,n,2.0NRT,315.23,8.28,D
TUR,37.28446,42.38019,344.14,0.47,0.64,2024-10-07,915,N21,VIIRS,n,2.0NRT,308.0,4.54,D
TUR,37.44448,39.07103,342.58,0.7,0.75,2024-10-07,915,N21,VIIRS,n,2.0NRT,301.04,8.61,D
TUR,37.47618,39.47619,340.34,0.66,0.73,2024-10-07,915,N21,VIIRS,n,2.0NRT,304.42,9.9,D
TUR,37.49474,38.65252,333.09,0.73,0.76,2024-10-07,915,N21,VIIRS,n,2.0NRT,301.16,13.56,D
TUR,37.49604,38.65269,336.34,0.73,0.76,2024-10-07,915,N21,VIIRS,n,2.0NRT,300.98,20.27,D
TUR,37.65258,38.29291,338.64,0.75,0.77,2024-10-07,915,N21,VIIRS,n,2.0NRT,299.67,14.62,D
TUR,37.65369,38.29518,334.21,0.75,0.77,2024-10-07,915,N21,VIIRS,n,2.0NRT,299.66,10.25,D
TUR,37.6906,40.47544,330.9,0.58,0.7,2024-10-07,915,N21,VIIRS,n,2.0NRT,302.45,5.03,D
TUR,37.70132,39.6298,332.21,0.64,0.72,2024-10-07,915,N21,VIIRS,n,2.0NRT,303.98,4.94,D
TUR,37.73348,38.80359,331.51,0.7,0.75,2024-10-07,915,N21,VIIRS,n,2.0NRT,300.86,4.68,D
TUR,37.75193,40.43914,335.87,0.58,0.7,2024-10-07,915,N21,VIIRS,n,2.0NRT,303.36,9.12,D
TUR,37.7535,40.19369,331.18,0.6,0.7,2024-10-07,915,N21,VIIRS,n,2.0NRT,305.0,4.1,D
TUR,37.75463,40.43758,367.0,0.58,0.7,2024-10-07,915,N21,VIIRS,h,2.0NRT,305.33,18.04,D
TUR,37.75785,40.43604,353.41,0.58,0.7,2024-10-07,915,N21,VIIRS,n,2.0NRT,303.09,9.12,D
TUR,37.96112,41.04786,341.8,0.53,0.67,2024-10-07,915,N21,VIIRS,n,2.0NRT,309.57,5.89,D
TUR,37.98623,41.04331,331.45,0.53,0.67,2024-10-07,915,N21,VIIRS,n,2.0NRT,306.42,16.68,D
TUR,37.98782,41.04873,367.0,0.53,0.67,2024-10-07,915,N21,VIIRS,h,2.0NRT,313.73,16.68,D
TUR,37.99099,41.12686,331.24,0.52,0.67,2024-10-07,915,N21,VIIRS,n,2.0NRT,306.22,4.53,D
TUR,38.0038,40.94506,367.0,0.54,0.68,2024-10-07,915,N21,VIIRS,h,2.0NRT,307.74,17.32,D
TUR,38.00487,40.94678,367.0,0.54,0.68,2024-10-07,915,N21,VIIRS,h,2.0NRT,308.1,19.64,D
TUR,38.00969,40.94249,348.46,0.54,0.68,2024-10-07,915,N21,VIIRS,n,2.0NRT,309.45,7.35,D
TUR,38.03655,40.20902,331.96,0.58,0.7,2024-10-07,915,N21,VIIRS,n,2.0NRT,300.05,4.81,D
TUR,38.06155,40.91387,367.0,0.54,0.68,2024-10-07,915,N21,VIIRS,h,2.0NRT,308.82,19.47,D
TUR,38.07917,40.88334,367.0,0.54,0.68,2024-10-07,915,N21,VIIRS,h,2.0NRT,309.33,10.46,D
TUR,38.07999,40.88624,352.55,0.54,0.68,2024-10-07,915,N21,VIIRS,n,2.0NRT,308.43,9.32,D
TUR,38.08253,40.3829,331.46,0.57,0.69,2024-10-07,915,N21,VIIRS,n,2.0NRT,304.84,3.48,D
TUR,38.08579,40.32597,333.5,0.57,0.69,2024-10-07,915,N21,VIIRS,l,2.0NRT,306.25,4.83,D
TUR,38.11976,41.32242,340.69,0.51,0.66,2024-10-07,915,N21,VIIRS,n,2.0NRT,307.7,15.53,D
TUR,38.12278,41.32272,340.14,0.51,0.66,2024-10-07,915,N21,VIIRS,n,2.0NRT,307.85,18.5,D
TUR,38.12301,41.33372,351.99,0.51,0.66,2024-10-07,915,N21,VIIRS,n,2.0NRT,308.84,15.75,D
TUR,38.12471,39.77808,330.46,0.61,0.71,2024-10-07,915,N21,VIIRS,n,2.0NRT,304.19,1.52,D
TUR,38.12611,41.33407,367.0,0.51,0.66,2024-10-07,915,N21,VIIRS,h,2.0NRT,311.13,26.44,D
TUR,38.12869,41.33094,367.0,0.51,0.66,2024-10-07,915,N21,VIIRS,h,2.0NRT,308.29,15.75,D
TUR,38.14295,40.94125,333.5,0.53,0.67,2024-10-07,915,N21,VIIRS,l,2.0NRT,308.45,6.33,D
TUR,38.1598,41.0465,333.15,0.53,0.67,2024-10-07,915,N21,VIIRS,n,2.0NRT,305.69,5.91,D
TUR,38.16002,41.04332,337.79,0.52,0.67,2024-10-07,915,N21,VIIRS,n,2.0NRT,305.64,5.76,D
TUR,38.16881,39.66999,353.33,0.62,0.71,2024-10-07,915,N21,VIIRS,n,2.0NRT,303.81,8.38,D
TUR,38.16975,39.67046,351.93,0.62,0.71,2024-10-07,915,N21,VIIRS,n,2.0NRT,302.95,7.91,D
TUR,39.185,42.08452,337.87,0.43,0.62,2024-10-07,915,N21,VIIRS,n,2.0NRT,305.12,5.07,D
TUR,39.20628,37.01396,367.0,0.78,0.78,2024-10-07,915,N21,VIIRS,h,2.0NRT,299.17,24.23,D
TUR,39.96741,42.4338,331.28,0.4,0.6,2024-10-07,915,N21,VIIRS,n,2.0NRT,299.46,4.65,D
TUR,40.82919,39.22511,335.8,0.54,0.68,2024-10-07,915,N21,VIIRS,n,2.0NRT,292.97,5.01,D
TUR,36.26246,36.2065,339.09,0.53,0.42,2024-10-07,1056,N21,VIIRS,n,2.0NRT,309.28,41.16,D
TUR,36.26325,33.72989,334.22,0.42,0.38,2024-10-07,1056,N21,VIIRS,n,2.0NRT,306.81,2.73,D
TUR,36.26629,36.20585,338.3,0.53,0.42,2024-10-07,1056,N21,VIIRS,n,2.0NRT,305.47,16.76,D
TUR,36.60864,36.46805,335.24,0.55,0.43,2024-10-07,1056,N21,VIIRS,n,2.0NRT,309.38,4.77,D
TUR,36.60896,31.84018,332.08,0.39,0.36,2024-10-07,1056,N21,VIIRS,l,2.0NRT,302.21,1.72,D
TUR,36.60958,31.84446,335.35,0.39,0.36,2024-10-07,1056,N21,VIIRS,n,2.0NRT,301.76,2.89,D
TUR,36.75884,29.84243,335.34,0.39,0.36,2024-10-07,1056,N21,VIIRS,l,2.0NRT,306.16,3.91,D
TUR,36.81477,37.41875,342.08,0.41,0.45,2024-10-07,1056,N21,VIIRS,n,2.0NRT,312.57,4.24,D
TUR,36.81568,37.41588,339.19,0.41,0.45,2024-10-07,1056,N21,VIIRS,n,2.0NRT,312.54,3.73,D
TUR,36.87312,39.42403,343.38,0.53,0.5,2024-10-07,1056,N21,VIIRS,n,2.0NRT,311.78,6.31,D
TUR,37.08239,35.93626,331.05,0.52,0.42,2024-10-07,1056,N21,VIIRS,n,2.0NRT,301.67,2.93,D
TUR,37.08369,35.93791,331.73,0.52,0.42,2024-10-07,1056,N21,VIIRS,n,2.0NRT,302.42,3.25,D
TUR,37.12066,41.36343,354.91,0.34,0.56,2024-10-07,1056,N21,VIIRS,n,2.0NRT,313.66,5.88,D
TUR,37.12092,41.36729,349.2,0.34,0.56,2024-10-07,1056,N21,VIIRS,n,2.0NRT,314.81,5.88,D
TUR,37.21719,42.06425,355.04,0.37,0.58,2024-10-07,1056,N21,VIIRS,n,2.0NRT,312.89,7.25,D
TUR,37.2483,28.33565,339.84,0.41,0.37,2024-10-07,1056,N21,VIIRS,n,2.0NRT,301.54,7.34,D
TUR,37.25166,28.33475,343.87,0.41,0.37,2024-10-07,1056,N21,VIIRS,n,2.0NRT,296.0,4.71,D
TUR,37.26036,42.64298,349.88,0.4,0.6,2024-10-07,1056,N21,VIIRS,n,2.0NRT,315.1,8.62,D
TUR,37.2659,42.64238,367.0,0.4,0.6,2024-10-07,1056,N21,VIIRS,h,2.0NRT,315.16,13.73,D
TUR,37.28075,42.41137,341.41,0.39,0.59,2024-10-07,1056,N21,VIIRS,n,2.0NRT,315.71,3.77,D
TUR,37.30036,37.02872,337.54,0.4,0.44,2024-10-07,1056,N21,VIIRS,l,2.0NRT,309.36,5.24,D
