country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,36.86851,34.76537,302.32,0.5,0.49,2024-10-12,3,N,VIIRS,n,2.0NRT,289.75,1.54,N
TUR,37.02074,36.10958,304.53,0.58,0.52,2024-10-12,3,N,VIIRS,n,2.0NRT,290.25,1.23,N
TUR,37.29361,37.15895,302.24,0.32,0.55,2024-10-12,3,N,VIIRS,n,2.0NRT,288.16,0.57,N
TUR,37.29439,37.15594,298.35,0.32,0.55,2024-10-12,3,N,VIIRS,n,2.0NRT,287.98,0.57,N
TUR,37.29515,37.15694,302.65,0.32,0.55,2024-10-12,3,N,VIIRS,n,2.0NRT,288.6,1.12,N
TUR,37.35164,37.16309,310.35,0.32,0.55,2024-10-12,3,N,VIIRS,n,2.0NRT,289.61,0.9,N
TUR,37.6592,40.21764,295.61,0.46,0.63,2024-10-12,3,N,VIIRS,n,2.0NRT,284.4,0.36,N
TUR,37.66931,38.26469,296.11,0.36,0.57,2024-10-12,3,N,VIIRS,n,2.0NRT,283.88,0.43,N
TUR,37.71026,40.89472,308.48,0.49,0.65,2024-10-12,3,N,VIIRS,n,2.0NRT,282.89,1.1,N
TUR,37.71175,40.88952,299.65,0.49,0.65,2024-10-12,3,N,VIIRS,n,2.0NRT,282.51,1.1,N
TUR,37.72835,38.1699,296.68,0.36,0.57,2024-10-12,3,N,VIIRS,n,2.0NRT,282.64,0.37,N
TUR,37.76801,38.34153,297.84,0.36,0.58,2024-10-12,3,N,VIIRS,n,2.0NRT,281.69,0.33,N
TUR,37.7719,27.44005,299.68,0.39,0.36,2024-10-12,3,N,VIIRS,n,2.0NRT,285.98,0.8,N
TUR,37.78412,38.55219,302.61,0.37,0.58,2024-10-12,3,N,VIIRS,n,2.0NRT,281.13,0.87,N
TUR,37.85764,40.33261,300.64,0.46,0.63,2024-10-12,3,N,VIIRS,n,2.0NRT,281.79,1.35,N
TUR,37.86033,40.34536,300.04,0.46,0.63,2024-10-12,3,N,VIIRS,n,2.0NRT,282.85,0.78,N
